git_label_serial_number,class_name,code_len,calc_comments_number,entropy,time_from_intro,time_from_last_fix,has_unit_test,num_of_fixes
244,CephOsdMemoryAllocation,86,0,5.77540233085,432,244,0,0
244,CephPaths,44,0,4.24800050707,477,168,0,0
244,check_success_flg_exist,82,0,5.89838756005,559,184,0,0
244,CorosyncConfDataCollector,21,2,3.97541801791,89,89,0,0
244,VmShowInfo,12,0,3.25162916739,428,415,0,0
244,UnifyHWCheck_on_storage,42,0,4.73394874529,462,184,0,0
244,heketi_db_pending_operation,100,4,6.0434651896,270,36,0,0
244,UnifyHWCheck_on_ncs_edges,46,0,4.78443152127,462,184,0,0
244,is_btel_installed_successfully,42,0,4.73732277982,289,184,0,0
244,FileTrackerCheck,80,0,5.72805590733,559,36,0,0
244,DuplicateIP,232,5,6.94800577638,400,106,0,0
244,check_for_stale_allocations_in_novadb,360,11,6.57929934651,232,15,0,0
244,IpLinkInfo,39,0,4.41360734707,425,184,0,0
244,ntpdate_checker,107,5,6.03694289308,462,184,0,0
244,ContainersNcmsPodsReadyAndRunning,203,1,6.36617136274,330,143,0,2
244,TlsCertificateExpiryValidator,257,0,6.67069240864,232,104,0,0
244,computes_memory_check,501,112,6.16369001274,364,184,0,0
244,NetworkNetConf,100,0,5.33879200668,286,257,0,0
244,HasNovaConf,53,0,5.0864110206,264,184,0,0
244,CephValidation,97,0,5.46560442718,461,168,0,0
244,RpmdbVerify,49,0,5.08409759922,333,184,0,0
244,validate_dockers_not_exited,188,0,6.60589359179,568,29,0,9
244,CheckSwiftFilesOvercloud,114,0,5.84944147084,419,78,0,0
244,CephConfCrushLocationExists,236,0,6.51433701187,455,36,0,0
244,heketi_pod_value,105,6,6.1127097133,270,36,0,0
244,NetworkBondCheck,399,10,6.82907371921,523,2,0,0
244,is_keyboard_correct,62,18,4.28608053615,383,383,0,0
244,DaemonsetsValidator,43,1,5.17615109186,590,343,0,0
244,UnifyHWCheck,125,0,6.17171723693,462,184,0,0
244,FileTrackerUI,152,0,6.16413352599,29,29,0,0
244,OpaqueCertificateExpiryValidator,261,0,6.7182031321,232,104,0,0
244,are_host_connected,60,0,5.09806851206,490,184,0,0
244,VmFlavor,23,0,4.26269239084,415,196,0,0
244,ValidateAllDaemonsetsScheduled,131,5,6.27592262431,590,184,0,0
244,HostIPMI,47,0,5.01182768137,397,184,0,0
244,IsOSDsWeightOK,129,1,5.94338593133,581,149,0,0
244,check_galera_is_synced_docker,93,0,5.68341893019,559,121,0,1
244,validate_dockers_health,75,0,5.77548535716,568,176,0,0
244,heketi_db_inconsistency_check,201,9,7.04623760454,270,36,0,0
244,FormattedConfigValidator,18,0,3.725480557,448,448,0,0
244,NodeAreReadyValidetor,187,2,6.19533211046,590,184,0,2
244,ValidateCephTempFilesCount,113,0,6.21195722832,517,382,0,0
244,VM,43,0,5.10068335935,534,534,0,0
244,CbisSystemCheckGnocchiCeilometerDocker,95,0,6.07281054571,522,121,0,0
244,EtcdDefragmentationCheckInController,277,20,7.23837214137,288,36,0,0
244,ncom_access,91,3,5.88950164562,414,184,0,0
244,NuageVersionDataCollector,51,2,5.07900058694,245,245,0,0
244,NetworkInterfaceAddresses,164,3,6.19087310381,532,2,0,0
244,IsCephHealthOk,101,0,5.68529403219,581,184,0,0
244,UCBackupCheck,288,3,6.80555755523,491,29,0,0
244,ScaleBlocker,16,0,3.57781953111,374,374,0,0
244,VmsStorageInfo,60,0,5.11990257979,426,415,0,0
244,MonitorsCount,77,0,5.50029887824,581,184,0,0
261,JsonFileIsValid,134,0,6.10607084007,41,3,0,0
261,NetworkInterfaceLinks,157,2,6.18109674622,420,241,0,0
261,RabbitmqBaseClass,67,0,5.37162165295,498,148,0,3
261,AllPodsHasLimits,112,0,5.85643087327,200,34,0,1
261,ValidationReadPermissions,265,2,6.78804288216,540,177,0,0
261,CheckRightSocketNum,94,0,5.66399994944,501,62,0,0
261,uc_rpm_list_check,65,1,5.3882250292,616,507,0,2
261,BaseCephMethodsOnNCS,53,0,5.04100777614,414,232,0,0
261,FsidNovaConfValidator,44,0,4.7261438344,30,30,0,0
261,UniformBaremetalPropertiesValidation,180,0,6.14390834733,513,498,0,0
261,FSIDCinderConfValidator,113,0,5.97975518444,30,30,0,0
261,DomIfAddressInfo,32,0,4.8125,483,483,0,0
261,check_neutron_agents,235,0,6.48214543751,519,241,0,0
261,KeyringCephRBDConfigCheck,6,0,2.58496250072,30,30,0,0
261,KeyringOpenstackConfigCheck,6,0,2.58496250072,30,30,0,0
261,DomMemstatInfo,19,0,4.03740119765,485,485,0,0
261,RabbitMQCheckOnUC,44,0,4.78553424467,185,185,0,0
261,is_message_of_the_day_correct,54,18,3.83964346508,440,440,0,0
261,AreAllOSDsRunningOnNCS,68,0,5.35254859932,414,414,0,0
